歌曲名：Mine Mine, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：逆鳞, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：飘移, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：英雄, 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：蛇舞, 歌手名：周杰伦/Lara梁心颐, 专辑名：魔杰座
歌曲名：战舞, 歌手名：周杰伦/沈懿, 专辑名：大灌篮
歌曲名：画沙, 歌手名：周杰伦/袁咏琳, 专辑名：袁咏琳 Cindy
歌曲名：傻笑, 歌手名：周杰伦/袁咏琳, 专辑名：十二新作
歌曲名：刀马旦, 歌手名：CoCo李玟/周杰伦, 专辑名：爱舞炫 盛装舞曲精选
歌曲名：龙卷风, 歌手名：周杰伦, 专辑名：Jay
歌曲名：七里香, 歌手名：周杰伦, 专辑名：七里香
歌曲名：东风破, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：你好吗, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：公主病, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：兰亭序, 歌手名：周杰伦, 专辑名：魔杰座
歌曲名：双截棍, 歌手名：周杰伦, 专辑名：范特西
歌曲名：周大侠, 歌手名：周杰伦, 专辑名：大灌篮
歌曲名：园游会, 歌手名：周杰伦, 专辑名：七里香
歌曲名：对不起, 歌手名：周杰伦, 专辑名：范特西
歌曲名：惊叹号, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：我不配, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：时光机, 歌手名：周杰伦, 专辑名：魔杰座
歌曲名：甜甜的, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：皮影戏, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：简单爱, 歌手名：周杰伦, 专辑名：范特西
歌曲名：跨时代, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：迷魂曲, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：霍元甲, 歌手名：周杰伦, 专辑名：霍元甲
歌曲名：青花瓷, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：黄金甲, 歌手名：周杰伦, 专辑名：黄金甲
歌曲名：半兽人, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：大笨钟, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：明明就, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：红模仿, 歌手名：周杰伦, 专辑名：依然范特西
歌曲名：菊花台, 歌手名：周杰伦, 专辑名：依然范特西
歌曲名：迷迭香, 歌手名：周杰伦, 专辑名：依然范特西
歌曲名：发如雪, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：美人鱼, 歌手名：周杰伦, 专辑名：哎呦，不错哦
歌曲名：阳明山, 歌手名：周杰伦, 专辑名：哎呦，不错哦
歌曲名：麦芽糖, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：一点点, 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：珊瑚海, 歌手名：周杰伦/Lara梁心颐, 专辑名：十一月的萧邦
歌曲名：怎么了, 歌手名：周杰伦/袁咏琳, 专辑名：哎呦，不错哦
歌曲名：世界末日 (Live), 歌手名：周杰伦, 专辑名：范特西PLUS
歌曲名：等你下课 (with 杨瑞代), 歌手名：周杰伦, 专辑名：等你下课
歌曲名：伊斯坦堡, 歌手名：周杰伦, 专辑名：Jay
歌曲名：可爱女人, 歌手名：周杰伦, 专辑名：Jay
歌曲名：完美主义, 歌手名：周杰伦, 专辑名：Jay
歌曲名：黑色幽默, 歌手名：周杰伦, 专辑名：Jay
歌曲名：三年二班, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：乔克叔叔, 歌手名：周杰伦, 专辑名：魔杰座
歌曲名：乱舞春秋, 歌手名：周杰伦, 专辑名：七里香
歌曲名：以父之名, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：你听得到, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：嘻哈空姐, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：困兽之斗, 歌手名：周杰伦, 专辑名：七里香
歌曲名：她的睫毛, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：好久不见, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：威廉古堡, 歌手名：周杰伦, 专辑名：范特西
歌曲名：开不了口, 歌手名：周杰伦, 专辑名：范特西
歌曲名：我的地盘, 歌手名：周杰伦, 专辑名：七里香
歌曲名：止战之殇, 歌手名：周杰伦, 专辑名：七里香
歌曲名：水手怕水, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：烟花易冷, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：爱情悬崖, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：牛仔很忙, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：秘密花园, 歌手名：周杰伦, 专辑名：大灌篮
歌曲名：自导自演, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：说了再见, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：超跑女神, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：阳光宅男, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：魔术先生, 歌手名：周杰伦, 专辑名：魔杰座
歌曲名：龙战骑士, 歌手名：周杰伦, 专辑名：魔杰座
歌曲名：乌克丽丽, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：半岛铁盒, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：四季列车, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：回到过去, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：梦想启动, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：爱你没差, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：红尘客栈, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：断了的弦, 歌手名：周杰伦, 专辑名：寻找周杰伦
歌曲名：本草纲目, 歌手名：周杰伦, 专辑名：依然范特西
歌曲名：白色风车, 歌手名：周杰伦, 专辑名：依然范特西
歌曲名：一路向北, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：天涯过客, 歌手名：周杰伦, 专辑名：哎呦，不错哦
歌曲名：浪漫手机, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：蓝色风暴, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：黑色毛衣, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：前世情人, 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：告白气球, 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：床边故事, 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：爱情废柴, 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：说走就走, 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：天地一斗, 歌手名：周杰伦/Kobe Bryant, 专辑名：乐酷‧概念合辑
歌曲名：骑士精神, 歌手名：蔡依林/周杰伦, 专辑名：看我72变
歌曲名：流浪诗人, 歌手名：周杰伦/杨瑞代, 专辑名：魔杰座
歌曲名：千里之外, 歌手名：周杰伦/费玉清, 专辑名：依然范特西
歌曲名：四面楚歌, 歌手名：周杰伦/林迈可, 专辑名：十一月的萧邦
歌曲名：我要夏天, 歌手名：周杰伦/杨瑞代, 专辑名：哎呦，不错哦
歌曲名：你是我的OK绷, 歌手名：浪花兄弟/周杰伦, 专辑名：浪花兄弟
歌曲名：反方向的钟, 歌手名：周杰伦, 专辑名：Jay
歌曲名：世界未末日, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：同一种调调, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：最长的电影, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：爱在西元前, 歌手名：周杰伦, 专辑名：范特西
歌曲名：疗伤烧肉粽, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：超人不会飞, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：雨下一整晚, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：公公偏头痛, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：哪里都是你, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：最后的战役, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：火车叨位去, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：爷爷泡的茶, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：听妈妈的话, 歌手名：周杰伦, 专辑名：依然范特西
歌曲名：听爸爸的话, 歌手名：周杰伦, 专辑名：哎呦，不错哦
歌曲名：手写的从前, 歌手名：周杰伦, 专辑名：哎呦，不错哦
歌曲名：算什么男人, 歌手名：周杰伦, 专辑名：哎呦，不错哦
歌曲名：鞋子特大号, 歌手名：周杰伦, 专辑名：哎呦，不错哦
歌曲名：夜的第七章, 歌手名：周杰伦/潘儿, 专辑名：依然范特西
歌曲名：布拉格广场, 歌手名：蔡依林/周杰伦, 专辑名：看我72变
歌曲名：说好不哭（with 五月天阿信）, 歌手名：周杰伦, 专辑名：说好不哭（with 五月天阿信）
歌曲名：你比从前快乐 (Live), 歌手名：周杰伦, 专辑名：范特西PLUS
歌曲名：印第安老斑鸠, 歌手名：周杰伦, 专辑名：Jay
歌曲名：上海一九四三, 歌手名：周杰伦, 专辑名：范特西
歌曲名：爸，我回来了, 歌手名：周杰伦, 专辑名：范特西
歌曲名：蒲公英的约定, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：说好的幸福呢, 歌手名：周杰伦, 专辑名：魔杰座
歌曲名：米兰的小铁匠, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：一口气全念对, 歌手名：周杰伦, 专辑名：哎呦，不错哦
歌曲名：不爱我就拉倒, 歌手名：周杰伦, 专辑名：不爱我就拉倒
歌曲名：不能说的秘密, 歌手名：周杰伦, 专辑名：不能说的秘密
歌曲名：我是如此相信, 歌手名：周杰伦, 专辑名：我是如此相信
歌曲名：土耳其冰淇淋, 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：爱的飞行日记, 歌手名：周杰伦/杨瑞代, 专辑名：跨时代
歌曲名：免费教学录影带, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：我落泪情绪零碎, 歌手名：周杰伦, 专辑名：跨时代
歌曲名：听见下雨的声音, 歌手名：周杰伦, 专辑名：哎呦，不错哦
歌曲名：比较大的大提琴, 歌手名：周杰伦/Lara梁心颐/杨瑞代, 专辑名：十二新作
歌曲名：给我一首歌的时间, 歌手名：周杰伦, 专辑名：魔杰座
